"","Participant.Private.ID","Age","Gender","needForMoney","blockOrder","randomise_blocks","effortL","rewardL","effortChoice","effortSelfReport","gamblingChoice","happySelfReport","subjEffort1","subjEffort3","subjEffort5","subjEffort7","subjFrust1","subjFrust3","subjFrust5","subjFrust7","nfc","ind","mes"
"1","4456595",20,"female",6,1,24,"7","-6","high",77,"risky",30,10,5,6,9,2,7,5,10,3.5,4.5,3.88888888888889
"2","4456595",20,"female",6,2,20,"7","-8","high",87,"risky",22,10,5,6,9,2,7,5,10,3.5,4.5,3.88888888888889
"3","4456595",20,"female",6,3,4,"7","-8","high",98,"risky",70,10,5,6,9,2,7,5,10,3.5,4.5,3.88888888888889
"4","4456595",20,"female",6,4,29,"1","-1","high",66,"risky",1,10,5,6,9,2,7,5,10,3.5,4.5,3.88888888888889
"5","4456595",20,"female",6,5,6,"3","-6","high",55,"safe",7,10,5,6,9,2,7,5,10,3.5,4.5,3.88888888888889
"6","4456595",20,"female",6,6,14,"3","-1","high",29,"risky",0,10,5,6,9,2,7,5,10,3.5,4.5,3.88888888888889
"7","4456595",20,"female",6,7,30,"3","-1","high",89,"risky",7,10,5,6,9,2,7,5,10,3.5,4.5,3.88888888888889
"8","4456595",20,"female",6,8,16,"7","-1","high",100,"risky",37,10,5,6,9,2,7,5,10,3.5,4.5,3.88888888888889
"9","4456595",20,"female",6,9,8,"7","-6","high",100,"risky",48,10,5,6,9,2,7,5,10,3.5,4.5,3.88888888888889
"10","4456595",20,"female",6,10,12,"7","-4","high",98,"safe",100,10,5,6,9,2,7,5,10,3.5,4.5,3.88888888888889
"11","4456595",20,"female",6,11,2,"3","-8","high",13,"risky",0,10,5,6,9,2,7,5,10,3.5,4.5,3.88888888888889
"12","4456595",20,"female",6,12,9,"1","-4","high",56,"risky",31,10,5,6,9,2,7,5,10,3.5,4.5,3.88888888888889
"13","4456595",20,"female",6,13,28,"7","-4","high",98,"safe",100,10,5,6,9,2,7,5,10,3.5,4.5,3.88888888888889
"14","4456595",20,"female",6,14,18,"3","-8","high",82,"risky",52,10,5,6,9,2,7,5,10,3.5,4.5,3.88888888888889
